Image,Percentage
Raspberry Pi OS (32-bit),46.68%
Raspberry Pi OS Lite (32-bit),14.75%
Raspberry Pi OS Full (32-bit),9.97%
Ubuntu Desktop 20.10 (RPi 4/400),5.76%
RetroPie 4.7.1 (RPI 4/400),2.69%
Raspberry Pi 4 EEPROM boot recovery,2.29%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.99%
Recalbox 7.1.1-Reloaded (Pi 3),1.85%
RetroPie 4.7.1 (RPI 2/3),1.68%
Ubuntu Server 20.10 (RPi 3/4/400),1.67%
LibreELEC (RPi4),1.63%
LibreELEC (RPi2/RPi3),1.37%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),1.31%
Ubuntu Server 20.04.1 LTS (RPi 3/4),1.04%
RISC OS (5.28),0.98%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.96%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Ubuntu Core 18 (RPi 3/4),0.53%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.35%
Ubuntu Core 18 (RPi 2/3/4),0.34%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.30%
Recalbox 7.1.1-Reloaded (Pi 2),0.21%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.08%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi 4.9.2 (latest),0.04%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.00%
