Image,Percentage
Raspberry Pi OS (32-bit),46.82%
Raspberry Pi OS Lite (32-bit),15.02%
Raspberry Pi OS Full (32-bit),10.24%
Ubuntu Desktop 20.10 (RPi 4/400),5.77%
RetroPie 4.7.1 (RPI 4/400),2.80%
Raspberry Pi 4 EEPROM boot recovery,2.29%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.10%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),2.08%
Recalbox 7.1.1-Reloaded (Pi 3),1.86%
Ubuntu Server 20.10 (RPi 3/4/400),1.64%
RetroPie 4.7.1 (RPI 2/3),1.57%
LibreELEC (RPi4),1.52%
LibreELEC (RPi2/RPi3),1.21%
RISC OS (5.28),0.95%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.94%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.57%
Ubuntu Core 18 (RPi 3/4),0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.44%
LibreELEC (RPi0/RPi1),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.29%
Recalbox 7.1.1-Reloaded (Pi 2),0.29%
TLXOS RPi 4.9.2 (latest),0.09%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
