Operating System,Percentage
Raspberry Pi OS (32-bit),48.54%
Raspberry Pi OS (other),26.15%
Ubuntu,10.79%
RetroPie,4.43%
Recalbox,4.28%
LibreELEC,2.72%
Misc utility images,1.97%
RISC OS Pi,0.90%
TLXOS,0.21%
