Operating System,Percentage
Raspberry Pi OS (32-bit),47.70%
Raspberry Pi OS (other),24.49%
Ubuntu,11.87%
RetroPie,5.04%
Recalbox,4.08%
LibreELEC,3.37%
Misc utility images,2.50%
RISC OS Pi,0.94%
TLXOS,0.01%
