Operating System,Percentage
Raspberry Pi OS (32-bit),44.63%
Raspberry Pi OS (other),24.04%
Ubuntu,13.79%
RetroPie,4.45%
Bootloader,4.22%
Recalbox,3.01%
LibreELEC,2.48%
Manjaro ARM Linux,2.20%
RISC OS Pi,0.63%
OctoPi,0.39%
ALT,0.10%
TLXOS,0.07%
