Operating System,Percentage
Raspberry Pi OS (32-bit),38.47%
Raspberry Pi OS (other),23.49%
Ubuntu,14.48%
Bootloader,5.13%
OctoPi,4.65%
RetroPie,3.82%
Recalbox,2.53%
Manjaro ARM Linux,1.95%
LibreELEC,1.44%
OSMC,1.34%
Home Assistant,1.03%
Homebridge,0.87%
RISC OS Pi,0.55%
info-beamer digital signage,0.13%
TLXOS,0.05%
ALT,0.05%
