Operating System,Percentage
Raspberry Pi OS (32-bit),42.75%
Raspberry Pi OS (other),23.46%
Ubuntu,14.58%
RetroPie,4.99%
Bootloader,4.30%
Recalbox,3.43%
LibreELEC,2.85%
Manjaro ARM Linux,2.33%
RISC OS Pi,0.79%
OctoPi,0.43%
TLXOS,0.08%
ALT,0.01%
