Operating System,Percentage
Raspberry Pi OS (32-bit),44.39%
Raspberry Pi OS (other),22.51%
Ubuntu,14.21%
RetroPie,5.14%
Bootloader,4.56%
Recalbox,3.31%
LibreELEC,2.41%
Manjaro ARM Linux,2.37%
RISC OS Pi,0.76%
OctoPi,0.31%
TLXOS,0.03%
