Operating System,Percentage
Raspberry Pi OS (32-bit),46.93%
Raspberry Pi OS (other),24.70%
Ubuntu,12.28%
RetroPie,4.98%
Recalbox,4.44%
LibreELEC,3.29%
Misc utility images,2.28%
RISC OS Pi,0.98%
TLXOS,0.12%
