Image,Percentage
Raspberry Pi OS (32-bit),40.58%
Raspberry Pi OS Lite (32-bit),13.56%
Raspberry Pi OS Full (32-bit),8.82%
Ubuntu Desktop 21.04 (RPi 4/400),7.97%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.58%
Ubuntu Server 21.04 (RPi 3/4/400),2.72%
RetroPie 4.7.1 (RPI 4/400),2.39%
SD Card Boot,2.20%
USB Boot,2.00%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.73%
Recalbox 7.2.1-Reloaded - Pi3,1.65%
RetroPie 4.7.1 (RPI 2/3),1.55%
LibreELEC (RPi4),1.37%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.17%
LibreELEC (RPi2/RPi3),1.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Homebridge,0.86%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.79%
RISC OS (5.28),0.78%
RetroPie 4.7.1 (RPI 1/Zero),0.60%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.54%
Ubuntu Core 18 (RPi 3/4),0.53%
OctoPi,0.44%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.32%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.29%
LibreELEC (RPi0/RPi1),0.29%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.21%
Recalbox 7.2.1-Reloaded - Pi2,0.18%
info-beamer OS,0.17%
Network Boot,0.10%
Home Assistant OS 5.13 (RPi 4/400),0.07%
TLXOS RPi 4.10.0 (latest),0.07%
Home Assistant OS 5.13 (RPi 3),0.04%
TLXOS RPi 4.8.2 (LTS),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.9.3 (latest),0.01%
info-beamer OS (testing),0.01%
OctoPi (mirror),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi 4.8.1 (LTS),0.00%
