Operating System,Percentage
Raspberry Pi OS (32-bit),41.05%
Raspberry Pi OS (other),22.07%
Ubuntu,17.21%
RetroPie,4.52%
Recalbox,4.24%
Bootloader,3.82%
LibreELEC,2.69%
Manjaro ARM Linux,1.86%
Homebridge,0.92%
RISC OS Pi,0.69%
OctoPi,0.49%
info-beamer digital signage,0.20%
TLXOS,0.16%
ALT,0.08%
