Operating System,Percentage
Raspberry Pi OS (32-bit),47.06%
Raspberry Pi OS (other),24.86%
Ubuntu,11.98%
RetroPie,5.03%
Recalbox,4.53%
LibreELEC,3.19%
Misc utility images,2.26%
RISC OS Pi,0.96%
TLXOS,0.12%
