Operating System,Percentage
Raspberry Pi OS (32-bit),40.50%
Raspberry Pi OS (other),22.35%
Ubuntu,16.61%
Recalbox,5.27%
RetroPie,4.87%
Bootloader,4.24%
LibreELEC,2.72%
Manjaro ARM Linux,2.03%
RISC OS Pi,0.68%
OctoPi,0.43%
info-beamer digital signage,0.19%
ALT,0.06%
TLXOS,0.05%
