Image,Percentage
Raspberry Pi OS (32-bit),41.25%
Raspberry Pi OS Lite (32-bit),13.67%
Raspberry Pi OS Full (32-bit),8.94%
Ubuntu Desktop 21.04 (RPi 4/400),7.43%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.54%
Ubuntu Server 21.04 (RPi 3/4/400),2.53%
RetroPie 4.7.1 (RPI 4/400),2.51%
SD Card Boot,2.17%
Recalbox 7.2-Reloaded - Pi4 / Pi400,1.96%
Recalbox 7.2-Reloaded - Pi3,1.93%
USB Boot,1.91%
RetroPie 4.7.1 (RPI 2/3),1.59%
LibreELEC (RPi4),1.34%
LibreELEC (RPi2/RPi3),1.20%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.19%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.98%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.91%
RISC OS (5.28),0.67%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
Ubuntu Core 18 (RPi 3/4),0.55%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.53%
OctoPi,0.42%
Recalbox 7.2-Reloaded - Pi0 / Pi1 / GPiCase,0.40%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.30%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
LibreELEC (RPi0/RPi1),0.22%
info-beamer OS,0.18%
Network Boot,0.16%
Recalbox 7.2-Reloaded - Pi2,0.14%
TLXOS RPi 4.9.3 (latest),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
