Image,Percentage
Raspberry Pi OS (32-bit),39.85%
Raspberry Pi OS Lite (32-bit),15.26%
Raspberry Pi OS Full (32-bit),8.57%
Ubuntu Desktop 21.04 (RPi 4/400),5.86%
OctoPi,4.18%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.18%
USB Boot,2.94%
Ubuntu Server 21.04 (RPi 3/4/400),2.37%
SD Card Boot,1.93%
RetroPie 4.7.1 (RPI 4/400),1.56%
RetroPie 4.7.1 (RPI 2/3),1.47%
LibreELEC (RPi4),1.45%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.00%
Recalbox 7.2.2-Reloaded - Pi3,0.92%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.89%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.86%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.78%
Homebridge,0.74%
OSMC (Pi 2/3),0.69%
Home Assistant OS 6.2 (RPi 4/400),0.65%
RISC OS (5.28),0.60%
RetroPie 4.7.1 (RPI 1/Zero),0.51%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.47%
OSMC (Pi 4 / Pi 400),0.44%
Ubuntu Core 20 (RPi 3/4),0.43%
Home Assistant OS 6.2 (RPi 3),0.35%
Ubuntu Core 20 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.24%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.23%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.21%
Network Boot,0.20%
info-beamer OS,0.17%
OSMC (Pi 0/1),0.16%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.15%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.11%
OctoPi (mirror),0.08%
Recalbox 7.2.2-Reloaded - Pi2,0.08%
info-beamer OS (testing),0.03%
TLXOS RPi 4.10.0 (latest),0.03%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi IoT 4.8.2 (LTS),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
