Operating System,Percentage
Raspberry Pi OS (32-bit),43.38%
Raspberry Pi OS (other),23.92%
Ubuntu,13.62%
RetroPie,5.00%
Bootloader,4.25%
Recalbox,3.55%
LibreELEC,2.88%
Manjaro ARM Linux,2.16%
RISC OS Pi,0.70%
OctoPi,0.42%
TLXOS,0.07%
ALT,0.06%
Misc utility images,0.00%
