Operating System,Percentage
Raspberry Pi OS (32-bit),47.25%
Raspberry Pi OS (other),24.81%
Ubuntu,11.83%
RetroPie,5.07%
Recalbox,4.54%
LibreELEC,3.19%
Misc utility images,2.27%
RISC OS Pi,0.91%
TLXOS,0.13%
