Image,Percentage
Raspberry Pi OS (32-bit),44.39%
Raspberry Pi OS Lite (32-bit),13.24%
Raspberry Pi OS Full (32-bit),9.27%
Ubuntu Desktop 20.10 (RPi 4/400),6.76%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.98%
RetroPie 4.7.1 (RPI 4/400),2.65%
USB Boot,2.35%
SD Card Boot,2.06%
RetroPie 4.7.1 (RPI 2/3),1.82%
Ubuntu Server 20.10 (RPi 3/4/400),1.73%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.49%
Recalbox 7.1.1-Reloaded (Pi 3),1.35%
LibreELEC (RPi4),1.27%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.15%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.93%
LibreELEC (RPi2/RPi3),0.92%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.77%
RISC OS (5.28),0.76%
Ubuntu Core 18 (RPi 3/4),0.71%
RetroPie 4.7.1 (RPI 1/Zero),0.67%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.59%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.33%
OctoPi,0.29%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.28%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.23%
LibreELEC (RPi0/RPi1),0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
Network Boot,0.15%
TLXOS RPi 4.9.3 (latest),0.03%
OctoPi (mirror),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
