Operating System,Percentage
Raspberry Pi OS (32-bit),46.42%
Raspberry Pi OS (other),24.47%
Ubuntu,13.17%
Recalbox,4.69%
RetroPie,4.64%
LibreELEC,3.16%
Misc utility images,2.13%
RISC OS Pi,1.12%
TLXOS,0.19%
