Operating System,Percentage
Raspberry Pi OS (32-bit),36.17%
Raspberry Pi OS (other),23.27%
Ubuntu,14.09%
Bootloader,5.45%
OctoPi,5.34%
RetroPie,4.38%
Recalbox,2.56%
Manjaro ARM Linux,2.08%
OSMC,1.79%
LibreELEC,1.60%
Homebridge,1.21%
Home Assistant,1.19%
RISC OS Pi,0.49%
info-beamer digital signage,0.26%
TLXOS,0.08%
ALT,0.03%
