Operating System,Percentage
Raspberry Pi OS (32-bit),45.86%
Raspberry Pi OS (other),24.62%
Ubuntu,13.11%
RetroPie,5.54%
Recalbox,4.12%
LibreELEC,3.29%
Misc utility images,2.40%
RISC OS Pi,0.99%
TLXOS,0.07%
