Operating System,Percentage
Raspberry Pi OS (32-bit),43.07%
Raspberry Pi OS (other),23.87%
Ubuntu,14.11%
RetroPie,4.85%
Bootloader,4.31%
Recalbox,3.53%
LibreELEC,2.82%
Manjaro ARM Linux,2.11%
RISC OS Pi,0.66%
OctoPi,0.48%
ALT,0.09%
TLXOS,0.06%
info-beamer digital signage,0.05%
