Operating System,Percentage
Raspberry Pi OS (32-bit),43.48%
Raspberry Pi OS (other),24.31%
Ubuntu,14.30%
RetroPie,4.71%
Bootloader,3.88%
Recalbox,3.32%
LibreELEC,2.89%
Manjaro ARM Linux,1.87%
RISC OS Pi,0.61%
OctoPi,0.42%
ALT,0.14%
TLXOS,0.08%
