Image,Percentage
Raspberry Pi OS (32-bit),38.32%
Raspberry Pi OS Lite (32-bit),13.66%
Raspberry Pi OS Full (32-bit),8.25%
Ubuntu Desktop 21.04 (RPi 4/400),6.26%
OctoPi,4.74%
USB Boot,3.37%
Ubuntu Server 20.04.3 LTS (RPi 3/4/400),3.30%
Ubuntu Server 21.04 (RPi 3/4/400),2.34%
SD Card Boot,2.13%
RetroPie 4.7.1 (RPI 4/400),2.10%
RetroPie 4.7.1 (RPI 2/3),1.54%
LibreELEC (RPi4),1.51%
Recalbox 7.2.2-Reloaded - Pi4 / Pi400,1.25%
Recalbox 7.2.2-Reloaded - Pi3,1.21%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.07%
Homebridge,0.91%
Ubuntu Server 20.04.3 LTS (RPi 2/3/4/400),0.81%
Manjaro ARM KDE Plasma 21.08 (RPi 3/3+/4/400),0.78%
OSMC (Pi 2/3),0.73%
Home Assistant OS 6.2 (RPi 4/400),0.72%
RISC OS (5.28),0.57%
OSMC (Pi 4 / Pi 400),0.57%
RetroPie 4.7.1 (RPI 1/Zero),0.52%
Manjaro ARM XFCE 21.08 (RPi 3/3+/4/400),0.52%
Ubuntu Core 20 (RPi 3/4),0.43%
Home Assistant OS 6.2 (RPi 3),0.37%
Recalbox 7.2.2-Reloaded - Pi0 / Pi1 / GPiCase,0.27%
Ubuntu Core 20 (RPi 2/3/4),0.22%
Manjaro ARM MATE 21.08 (RPi 3/3+/4/400),0.21%
Manjaro ARM Gnome 21.08 (RPi 3/3+/4/400),0.20%
Manjaro ARM Minimal 21.08 (RPi 3/3+/4/400),0.19%
OSMC (Pi 0/1),0.17%
Network Boot,0.16%
info-beamer OS,0.13%
OctoPi (mirror),0.13%
Recalbox 7.2.2-Reloaded - Pi2,0.12%
Manjaro ARM Sway 21.08 (RPi 3/3+/4/400),0.11%
TLXOS RPi 4.10.0 (latest),0.04%
ALT Workstation 9.2 (Raspberry Pi 4/3),0.03%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.8.2 (LTS),0.01%
info-beamer OS (testing),0.01%
ALT Education 9.2 (Raspberry Pi 4/3),0.01%
TLXOS RPi IoT 4.8.2 (LTS),0.01%
