Operating System,Percentage
Raspberry Pi OS (32-bit),41.68%
Raspberry Pi OS (other),23.98%
Ubuntu,14.84%
RetroPie,4.81%
Bootloader,4.45%
Recalbox,3.79%
LibreELEC,2.93%
Manjaro ARM Linux,2.21%
RISC OS Pi,0.83%
OctoPi,0.41%
TLXOS,0.07%
