Image,Percentage
Raspberry Pi OS (32-bit),46.36%
Raspberry Pi OS Lite (32-bit),14.65%
Raspberry Pi OS Full (32-bit),9.98%
Ubuntu Desktop 20.10 (RPi 4/400),5.88%
RetroPie 4.7.1 (RPI 4/400),2.73%
Raspberry Pi 4 EEPROM boot recovery,2.37%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.28%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.90%
RetroPie 4.7.1 (RPI 2/3),1.74%
Recalbox 7.1.1-Reloaded (Pi 3),1.74%
Ubuntu Server 20.10 (RPi 3/4/400),1.72%
LibreELEC (RPi4),1.61%
LibreELEC (RPi2/RPi3),1.39%
RISC OS (5.28),0.99%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.98%
RetroPie 4.7.1 (RPI 1/Zero),0.72%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.61%
Ubuntu Core 18 (RPi 3/4),0.55%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.35%
LibreELEC (RPi0/RPi1),0.31%
Ubuntu Server 20.04.1 LTS (RPi 3/4),0.24%
Recalbox 7.1.1-Reloaded (Pi 2),0.20%
Ubuntu Server 20.04.2 LTS (RPi 3/4),0.09%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.08%
TLXOS RPi 4.9.3 (latest),0.08%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4),0.02%
TLXOS RPi 4.8.1 (LTS),0.02%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.00%
TLXOS RPi 4.9.2 (latest),0.00%
