Operating System,Percentage
Raspberry Pi OS (32-bit),44.85%
Raspberry Pi OS (other),24.32%
Ubuntu,12.45%
RetroPie,5.42%
Recalbox,3.79%
LibreELEC,3.18%
Bootloader,2.35%
Manjaro ARM Linux,1.62%
Misc utility images,1.04%
RISC OS Pi,0.79%
TLXOS,0.10%
OctoPi,0.10%
