Operating System,Percentage
Raspberry Pi OS (32-bit),43.41%
Raspberry Pi OS (other),23.66%
Ubuntu,15.00%
RetroPie,4.56%
Bootloader,3.97%
Recalbox,2.91%
LibreELEC,2.84%
Manjaro ARM Linux,2.30%
RISC OS Pi,0.71%
OctoPi,0.50%
TLXOS,0.13%
