Image,Percentage
Raspberry Pi OS (32-bit),40.84%
Raspberry Pi OS Lite (32-bit),14.13%
Raspberry Pi OS Full (32-bit),8.51%
Ubuntu Desktop 21.04 (RPi 4/400),7.08%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.35%
Ubuntu Server 21.04 (RPi 3/4/400),3.05%
RetroPie 4.7.1 (RPI 4/400),2.23%
SD Card Boot,2.10%
USB Boot,1.90%
Recalbox 7.2.1-Reloaded - Pi3,1.83%
RetroPie 4.7.1 (RPI 2/3),1.63%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.55%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.32%
LibreELEC (RPi4),1.28%
LibreELEC (RPi2/RPi3),1.27%
RISC OS (5.28),0.88%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.85%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.73%
Homebridge,0.68%
RetroPie 4.7.1 (RPI 1/Zero),0.59%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.52%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.43%
Home Assistant OS 5.13 (RPi 3),0.37%
Ubuntu Core 18 (RPi 2/3/4),0.35%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
Home Assistant OS 5.13 (RPi 4/400),0.28%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
LibreELEC (RPi0/RPi1),0.23%
Recalbox 7.2.1-Reloaded - Pi2,0.22%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.20%
TLXOS RPi 4.10.0 (latest),0.17%
Network Boot,0.11%
info-beamer OS,0.08%
Simply Linux 9.1 (Raspberry Pi 4/3),0.05%
TLXOS RPi 4.8.2 (LTS),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
TLXOS RPi IoT 4.8.2 (LTS),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
OctoPi (mirror),0.01%
