Image,Percentage
Raspberry Pi OS (32-bit),48.92%
Raspberry Pi OS Lite (32-bit),14.15%
Raspberry Pi OS Full (32-bit),10.17%
Ubuntu Desktop 20.10 (RPi 4/400),5.42%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.45%
RetroPie 4.7.1 (RPI 4/400),2.26%
Raspberry Pi 4 EEPROM boot recovery,2.21%
Recalbox 7.1.1-Reloaded (Pi 3),1.85%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.81%
Ubuntu Server 20.10 (RPi 3/4/400),1.42%
RetroPie 4.7.1 (RPI 2/3),1.40%
LibreELEC (RPi4),1.31%
LibreELEC (RPi2/RPi3),1.24%
RISC OS (5.28),1.12%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.03%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.70%
RetroPie 4.7.1 (RPI 1/Zero),0.50%
Ubuntu Core 18 (RPi 3/4),0.48%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.41%
Ubuntu Core 18 (RPi 2/3/4),0.39%
LibreELEC (RPi0/RPi1),0.39%
Recalbox 7.1.1-Reloaded (Pi 2),0.19%
TLXOS RPi 4.9.2 (latest),0.15%
TLXOS RPi 4.8.0 (LTS),0.02%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
