Operating System,Percentage
Raspberry Pi OS (32-bit),46.90%
Raspberry Pi OS (other),24.86%
Ubuntu,12.29%
RetroPie,5.03%
Recalbox,4.38%
LibreELEC,3.28%
Misc utility images,2.17%
RISC OS Pi,0.97%
TLXOS,0.12%
