Operating System,Percentage
Raspberry Pi OS (32-bit),38.52%
Raspberry Pi OS (other),22.26%
Ubuntu,14.59%
Bootloader,5.34%
OctoPi,4.83%
RetroPie,4.07%
Recalbox,2.70%
Manjaro ARM Linux,2.03%
LibreELEC,1.54%
OSMC,1.37%
Home Assistant,1.04%
Homebridge,0.88%
RISC OS Pi,0.59%
info-beamer digital signage,0.15%
TLXOS,0.06%
ALT,0.05%
