Operating System,Percentage
Raspberry Pi OS (32-bit),47.09%
Raspberry Pi OS (other),24.27%
Ubuntu,12.70%
RetroPie,4.91%
Recalbox,4.07%
LibreELEC,3.24%
Misc utility images,2.40%
RISC OS Pi,1.10%
TLXOS,0.22%
