Image,Percentage
Raspberry Pi OS (32-bit),40.94%
Raspberry Pi OS Lite (32-bit),13.66%
Raspberry Pi OS Full (32-bit),9.73%
Ubuntu Desktop 21.04 (RPi 4/400),7.66%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.61%
Ubuntu Server 21.04 (RPi 3/4/400),2.62%
SD Card Boot,2.21%
RetroPie 4.7.1 (RPI 4/400),2.12%
USB Boot,1.82%
Recalbox 7.2.1-Reloaded - Pi3,1.42%
LibreELEC (RPi4),1.37%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.34%
RetroPie 4.7.1 (RPI 2/3),1.25%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.07%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.89%
LibreELEC (RPi2/RPi3),0.80%
Homebridge,0.74%
RISC OS (5.28),0.66%
Ubuntu Core 18 (RPi 3/4),0.62%
OctoPi,0.58%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.51%
RetroPie 4.7.1 (RPI 1/Zero),0.47%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.44%
Home Assistant OS 5.13 (RPi 4/400),0.41%
Home Assistant OS 5.13 (RPi 3),0.39%
Ubuntu Core 18 (RPi 2/3/4),0.34%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.30%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
LibreELEC (RPi0/RPi1),0.21%
Network Boot,0.20%
info-beamer OS,0.19%
Recalbox 7.2.1-Reloaded - Pi2,0.14%
TLXOS RPi 4.10.0 (latest),0.03%
OctoPi (mirror),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
Simply Linux 9.1 (Raspberry Pi 4/3),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.8.2 (LTS),0.01%
