Operating System,Percentage
Raspberry Pi OS (32-bit),48.79%
Raspberry Pi OS (other),24.28%
Ubuntu,11.24%
RetroPie,5.60%
Recalbox,3.46%
LibreELEC,3.37%
Misc utility images,2.26%
RISC OS Pi,0.91%
TLXOS,0.10%
