Operating System,Percentage
Raspberry Pi OS (32-bit),41.50%
Raspberry Pi OS (other),22.99%
Ubuntu,15.70%
RetroPie,4.91%
Bootloader,4.27%
Recalbox,4.25%
LibreELEC,2.77%
Manjaro ARM Linux,2.05%
RISC OS Pi,0.66%
OctoPi,0.47%
info-beamer digital signage,0.16%
Homebridge,0.13%
ALT,0.07%
TLXOS,0.06%
Misc utility images,0.00%
