Image,Percentage
Raspberry Pi OS (32-bit),40.70%
Raspberry Pi OS Lite (32-bit),13.98%
Raspberry Pi OS Full (32-bit),9.03%
Ubuntu Desktop 21.04 (RPi 4/400),7.66%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.68%
RetroPie 4.7.1 (RPI 4/400),2.47%
Ubuntu Server 21.04 (RPi 3/4/400),2.37%
SD Card Boot,2.05%
USB Boot,1.92%
RetroPie 4.7.1 (RPI 2/3),1.78%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.64%
Recalbox 7.2.1-Reloaded - Pi3,1.60%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.17%
LibreELEC (RPi4),1.16%
Homebridge,1.04%
LibreELEC (RPi2/RPi3),0.96%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.88%
RISC OS (5.28),0.67%
Ubuntu Core 18 (RPi 3/4),0.63%
RetroPie 4.7.1 (RPI 1/Zero),0.53%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.52%
OctoPi,0.49%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.30%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.29%
info-beamer OS,0.25%
LibreELEC (RPi0/RPi1),0.24%
Network Boot,0.17%
Recalbox 7.2.1-Reloaded - Pi2,0.15%
ALT Education 9.1 (Raspberry Pi 4/3),0.04%
TLXOS RPi 4.9.3 (latest),0.04%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
