Operating System,Percentage
Raspberry Pi OS (32-bit),45.66%
Raspberry Pi OS (other),24.70%
Ubuntu,12.18%
RetroPie,4.74%
Bootloader,3.65%
Recalbox,3.47%
LibreELEC,2.98%
Manjaro ARM Linux,1.73%
RISC OS Pi,0.52%
OctoPi,0.32%
TLXOS,0.05%
