Operating System,Percentage
Raspberry Pi OS (32-bit),45.98%
Raspberry Pi OS (other),24.86%
Ubuntu,13.02%
RetroPie,5.35%
Recalbox,4.01%
LibreELEC,3.29%
Misc utility images,2.40%
RISC OS Pi,1.01%
TLXOS,0.08%
