Operating System,Percentage
Raspberry Pi OS (32-bit),48.12%
Raspberry Pi OS (other),24.43%
Ubuntu,11.40%
RetroPie,5.54%
Recalbox,3.81%
LibreELEC,3.36%
Misc utility images,2.30%
RISC OS Pi,0.93%
TLXOS,0.10%
