Image,Percentage
Raspberry Pi OS (32-bit),40.29%
Raspberry Pi OS Lite (32-bit),14.25%
Raspberry Pi OS Full (32-bit),9.34%
Ubuntu Desktop 20.10 (RPi 4/400),6.38%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.99%
RetroPie 4.7.1 (RPI 4/400),2.99%
SD Card Boot,2.53%
USB Boot,2.23%
Ubuntu Server 20.10 (RPi 3/4/400),2.03%
Recalbox 7.1.1-Reloaded (Pi 3),1.85%
RetroPie 4.7.1 (RPI 2/3),1.83%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.83%
LibreELEC (RPi4),1.63%
LibreELEC (RPi2/RPi3),1.37%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.13%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),1.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.96%
RISC OS (5.28),0.72%
RetroPie 4.7.1 (RPI 1/Zero),0.58%
OctoPi,0.58%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.58%
Ubuntu Core 18 (RPi 3/4),0.54%
Ubuntu Core 18 (RPi 2/3/4),0.36%
LibreELEC (RPi0/RPi1),0.36%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.29%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.27%
Recalbox 7.1.1-Reloaded (Pi 2),0.25%
Network Boot,0.24%
info-beamer OS,0.19%
TLXOS RPi 4.9.3 (latest),0.03%
OctoPi (mirror),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.01%
