Operating System,Percentage
Raspberry Pi OS (32-bit),47.03%
Raspberry Pi OS (other),24.87%
Ubuntu,12.07%
RetroPie,5.05%
Recalbox,4.43%
LibreELEC,3.29%
Misc utility images,2.17%
RISC OS Pi,0.98%
TLXOS,0.11%
