Operating System,Percentage
Raspberry Pi OS (32-bit),48.93%
Raspberry Pi OS (other),24.32%
Ubuntu,11.86%
Recalbox,4.25%
RetroPie,4.17%
LibreELEC,2.94%
Misc utility images,2.21%
RISC OS Pi,1.12%
TLXOS,0.19%
