Operating System,Percentage
Raspberry Pi OS (32-bit),43.21%
Raspberry Pi OS (other),23.91%
Ubuntu,13.84%
RetroPie,4.96%
Bootloader,4.28%
Recalbox,3.54%
LibreELEC,2.85%
Manjaro ARM Linux,2.14%
RISC OS Pi,0.69%
OctoPi,0.45%
ALT,0.07%
TLXOS,0.06%
