Operating System,Percentage
Raspberry Pi OS (32-bit),47.27%
Raspberry Pi OS (other),24.60%
Ubuntu,11.71%
RetroPie,5.47%
Recalbox,4.34%
LibreELEC,3.24%
Misc utility images,2.31%
RISC OS Pi,0.95%
TLXOS,0.11%
