Operating System,Percentage
Raspberry Pi OS (32-bit),47.55%
Raspberry Pi OS (other),24.57%
Ubuntu,11.59%
RetroPie,5.50%
Recalbox,4.15%
LibreELEC,3.29%
Misc utility images,2.31%
RISC OS Pi,0.93%
TLXOS,0.11%
