Image,Percentage
Raspberry Pi OS (32-bit),47.94%
Raspberry Pi OS Lite (32-bit),15.15%
Raspberry Pi OS Full (32-bit),10.01%
Ubuntu Desktop 20.10 (RPi 4/400),5.62%
RetroPie 4.7.1 (RPI 4/400),2.63%
Raspberry Pi 4 EEPROM boot recovery,2.25%
Ubuntu Server 20.04.1 LTS (RPi 3/4),2.14%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.89%
Recalbox 7.1.1-Reloaded (Pi 3),1.77%
Ubuntu Server 20.10 (RPi 3/4/400),1.68%
RetroPie 4.7.1 (RPI 2/3),1.53%
LibreELEC (RPi4),1.44%
LibreELEC (RPi2/RPi3),1.20%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.95%
RISC OS (5.28),0.87%
RetroPie 4.7.1 (RPI 1/Zero),0.62%
Ubuntu Server 20.04.1 LTS (RPi 2/3/4),0.55%
Ubuntu Core 18 (RPi 3/4),0.48%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.38%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.26%
Recalbox 7.1.1-Reloaded (Pi 2),0.24%
TLXOS RPi 4.9.2 (latest),0.10%
TLXOS RPi 4.8.0 (LTS),0.01%
TLXOS RPi IoT 4.8.0 (LTS),0.01%
