Image,Percentage
Raspberry Pi OS (32-bit),42.80%
Raspberry Pi OS Lite (32-bit),14.56%
Raspberry Pi OS Full (32-bit),9.51%
Ubuntu Desktop 20.10 (RPi 4/400),5.87%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.15%
RetroPie 4.7.1 (RPI 4/400),2.51%
USB Boot,2.45%
Ubuntu Server 20.10 (RPi 3/4/400),1.91%
SD Card Boot,1.90%
Recalbox 7.1.1-Reloaded (Pi 3),1.66%
RetroPie 4.7.1 (RPI 2/3),1.63%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.60%
LibreELEC (RPi4),1.38%
LibreELEC (RPi2/RPi3),1.19%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.08%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.03%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.88%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
RISC OS (5.28),0.61%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.59%
Ubuntu Core 18 (RPi 3/4),0.51%
OctoPi,0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.36%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.28%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Network Boot,0.16%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
Simply Linux 9.0 (Raspberry Pi 4),0.03%
ALT Education 9.1 (Raspberry Pi 4/3),0.03%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
