Image,Percentage
Raspberry Pi OS (32-bit),43.60%
Raspberry Pi OS Lite (32-bit),14.29%
Raspberry Pi OS Full (32-bit),9.61%
Ubuntu Desktop 20.10 (RPi 4/400),5.91%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.05%
RetroPie 4.7.1 (RPI 4/400),2.62%
USB Boot,2.04%
Ubuntu Server 20.10 (RPi 3/4/400),1.89%
SD Card Boot,1.78%
RetroPie 4.7.1 (RPI 2/3),1.70%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.55%
Recalbox 7.1.1-Reloaded (Pi 3),1.52%
LibreELEC (RPi4),1.44%
LibreELEC (RPi2/RPi3),1.22%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.02%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.81%
RISC OS (5.28),0.71%
RetroPie 4.7.1 (RPI 1/Zero),0.70%
Ubuntu Core 18 (RPi 3/4),0.55%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.54%
OctoPi,0.37%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.35%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.34%
Ubuntu Core 18 (RPi 2/3/4),0.30%
LibreELEC (RPi0/RPi1),0.26%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.21%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Raspberry Pi 4 EEPROM boot recovery,0.16%
Network Boot,0.15%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
