Operating System,Percentage
Raspberry Pi OS (32-bit),47.33%
Raspberry Pi OS (other),24.78%
Ubuntu,12.04%
RetroPie,4.91%
Recalbox,4.42%
LibreELEC,3.17%
Misc utility images,2.25%
RISC OS Pi,0.96%
TLXOS,0.12%
