Operating System,Percentage
Raspberry Pi OS (32-bit),46.93%
Raspberry Pi OS (other),24.03%
Ubuntu,11.39%
RetroPie,6.18%
Recalbox,4.60%
LibreELEC,3.45%
Misc utility images,2.33%
RISC OS Pi,0.97%
TLXOS,0.10%
