Operating System,Percentage
Raspberry Pi OS (32-bit),40.75%
Raspberry Pi OS (other),22.07%
Ubuntu,17.39%
Bootloader,4.54%
RetroPie,4.32%
Recalbox,3.17%
LibreELEC,2.29%
Manjaro ARM Linux,1.73%
Home Assistant,1.33%
Homebridge,0.78%
RISC OS Pi,0.76%
OctoPi,0.41%
info-beamer digital signage,0.23%
TLXOS,0.16%
ALT,0.07%
