Operating System,Percentage
Raspberry Pi OS (32-bit),37.95%
Raspberry Pi OS (other),23.86%
Ubuntu,14.29%
Bootloader,5.11%
OctoPi,4.77%
RetroPie,3.91%
Recalbox,2.58%
Manjaro ARM Linux,1.91%
LibreELEC,1.44%
OSMC,1.38%
Home Assistant,1.06%
Homebridge,0.94%
RISC OS Pi,0.53%
info-beamer digital signage,0.16%
TLXOS,0.05%
ALT,0.05%
