Operating System,Percentage
Raspberry Pi OS (32-bit),39.29%
Raspberry Pi OS (other),22.07%
Ubuntu,17.47%
RetroPie,4.82%
Bootloader,4.60%
Recalbox,4.47%
LibreELEC,3.00%
Manjaro ARM Linux,1.84%
Homebridge,0.96%
RISC OS Pi,0.74%
OctoPi,0.51%
info-beamer digital signage,0.15%
ALT,0.06%
TLXOS,0.02%
