Operating System,Percentage
Raspberry Pi OS (32-bit),47.15%
Raspberry Pi OS (other),25.63%
Ubuntu,12.21%
RetroPie,4.72%
Recalbox,3.91%
LibreELEC,3.16%
Misc utility images,2.17%
RISC OS Pi,0.93%
TLXOS,0.10%
