Image,Percentage
Raspberry Pi OS (32-bit),39.29%
Raspberry Pi OS Lite (32-bit),13.49%
Raspberry Pi OS Full (32-bit),8.58%
Ubuntu Desktop 21.04 (RPi 4/400),8.46%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.27%
Ubuntu Server 21.04 (RPi 3/4/400),2.88%
SD Card Boot,2.42%
RetroPie 4.7.1 (RPI 4/400),2.42%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,2.07%
USB Boot,2.04%
Recalbox 7.2.1-Reloaded - Pi3,1.88%
RetroPie 4.7.1 (RPI 2/3),1.77%
LibreELEC (RPi4),1.45%
LibreELEC (RPi2/RPi3),1.33%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.30%
Homebridge,0.96%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.84%
RISC OS (5.28),0.74%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.66%
RetroPie 4.7.1 (RPI 1/Zero),0.62%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.58%
OctoPi,0.50%
Ubuntu Core 18 (RPi 3/4),0.47%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.38%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.28%
Ubuntu Core 18 (RPi 2/3/4),0.25%
Recalbox 7.2.1-Reloaded - Pi2,0.25%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.22%
LibreELEC (RPi0/RPi1),0.22%
info-beamer OS,0.15%
Network Boot,0.14%
Simply Linux 9.1 (Raspberry Pi 4/3),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.9.3 (latest),0.01%
OctoPi (mirror),0.01%
ALT Education 9.1 (Raspberry Pi 4/3),0.01%
TLXOS RPi 4.10.0 (latest),0.01%
