Operating System,Percentage
Raspberry Pi OS (32-bit),41.45%
Raspberry Pi OS (other),22.12%
Ubuntu,17.51%
Bootloader,4.28%
RetroPie,3.79%
Recalbox,3.24%
LibreELEC,2.86%
Manjaro ARM Linux,1.72%
Homebridge,0.95%
RISC OS Pi,0.87%
OctoPi,0.48%
Home Assistant,0.35%
info-beamer digital signage,0.18%
TLXOS,0.15%
ALT,0.05%
