Image,Percentage
Raspberry Pi OS (32-bit),44.63%
Raspberry Pi OS Lite (32-bit),14.79%
Raspberry Pi OS Full (32-bit),9.25%
Ubuntu Desktop 20.10 (RPi 4/400),6.11%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.24%
RetroPie 4.7.1 (RPI 4/400),2.47%
USB Boot,2.13%
SD Card Boot,1.95%
Ubuntu Server 20.10 (RPi 3/4/400),1.80%
RetroPie 4.7.1 (RPI 2/3),1.32%
Recalbox 7.1.1-Reloaded (Pi 3),1.32%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.28%
LibreELEC (RPi4),1.22%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),1.08%
LibreELEC (RPi2/RPi3),1.05%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.01%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.83%
RetroPie 4.7.1 (RPI 1/Zero),0.66%
RISC OS (5.28),0.63%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.54%
Ubuntu Core 18 (RPi 3/4),0.52%
OctoPi,0.39%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.32%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.29%
Ubuntu Core 18 (RPi 2/3/4),0.29%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.26%
LibreELEC (RPi0/RPi1),0.22%
Network Boot,0.14%
Recalbox 7.1.1-Reloaded (Pi 2),0.12%
TLXOS RPi 4.9.3 (latest),0.06%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.05%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
