Image,Percentage
Raspberry Pi OS (32-bit),42.48%
Raspberry Pi OS Lite (32-bit),14.16%
Raspberry Pi OS Full (32-bit),9.27%
Ubuntu Desktop 20.10 (RPi 4/400),6.01%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.47%
RetroPie 4.7.1 (RPI 4/400),2.60%
SD Card Boot,2.09%
Ubuntu Server 20.10 (RPi 3/4/400),2.04%
USB Boot,2.03%
RetroPie 4.7.1 (RPI 2/3),1.68%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.59%
Recalbox 7.1.1-Reloaded (Pi 3),1.53%
LibreELEC (RPi4),1.42%
LibreELEC (RPi2/RPi3),1.16%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.10%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.97%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.93%
RetroPie 4.7.1 (RPI 1/Zero),0.65%
RISC OS (5.28),0.62%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.59%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.52%
Ubuntu Core 18 (RPi 2/3/4),0.34%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.32%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.30%
Ubuntu Desktop 21.04 (RPi 4/400),0.27%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.23%
info-beamer OS,0.18%
Recalbox 7.1.1-Reloaded (Pi 2),0.15%
Network Boot,0.15%
Ubuntu Server 21.04 (RPi 3/4/400),0.11%
TLXOS RPi 4.9.3 (latest),0.04%
Ubuntu Server 21.04 (RPi 2/3/4/400),0.04%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.04%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
info-beamer OS (testing),0.02%
OctoPi (mirror),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
