Image,Percentage
Raspberry Pi OS (32-bit),42.89%
Raspberry Pi OS Lite (32-bit),14.40%
Raspberry Pi OS Full (32-bit),9.50%
Ubuntu Desktop 20.10 (RPi 4/400),6.02%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.25%
RetroPie 4.7.1 (RPI 4/400),2.63%
USB Boot,2.27%
Ubuntu Server 20.10 (RPi 3/4/400),1.99%
SD Card Boot,1.88%
RetroPie 4.7.1 (RPI 2/3),1.63%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.56%
Recalbox 7.1.1-Reloaded (Pi 3),1.53%
LibreELEC (RPi4),1.43%
LibreELEC (RPi2/RPi3),1.18%
Ubuntu Server 20.10 (RPi 2/3/4/400),1.05%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.86%
Manjaro ARM KDE Plasma 21.02 (RPi 3/3+/4/400),0.78%
RISC OS (5.28),0.68%
RetroPie 4.7.1 (RPI 1/Zero),0.68%
Ubuntu Core 18 (RPi 3/4),0.54%
OctoPi,0.45%
Manjaro ARM XFCE 21.02 (RPi 3/3+/4/400),0.44%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.33%
Ubuntu Core 18 (RPi 2/3/4),0.32%
Manjaro ARM MATE 21.02 (RPi 3/3+/4/400),0.27%
LibreELEC (RPi0/RPi1),0.27%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.22%
Recalbox 7.1.1-Reloaded (Pi 2),0.17%
Manjaro ARM Minimal 21.02 (RPi 3/3+/4/400),0.17%
Network Boot,0.16%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.14%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.07%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.06%
TLXOS RPi 4.9.3 (latest),0.05%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS,0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
Simply Linux 9.0 (Raspberry Pi 4),0.02%
OctoPi (mirror),0.02%
TLXOS RPi 4.8.1 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.00%
info-beamer OS (testing),0.00%
