Operating System,Percentage
Raspberry Pi OS (32-bit),46.83%
Raspberry Pi OS (other),24.73%
Ubuntu,12.31%
RetroPie,5.02%
Recalbox,4.43%
LibreELEC,3.29%
Misc utility images,2.28%
RISC OS Pi,0.99%
TLXOS,0.12%
