Image,Percentage
Raspberry Pi OS (32-bit),48.32%
Raspberry Pi OS Lite (32-bit),14.63%
Raspberry Pi OS Full (32-bit),10.11%
Ubuntu Desktop 20.10 (RPi 4/400),5.70%
RetroPie 4.7.1 (RPI 4/400),2.66%
Raspberry Pi 4 EEPROM boot recovery,2.64%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),2.30%
Ubuntu Server 20.10 (RPi 3/4/400),1.70%
Recalbox 7.1.1-Reloaded (Pi 4/Pi 400),1.58%
RetroPie 4.7.1 (RPI 2/3),1.45%
LibreELEC (RPi2/RPi3),1.33%
LibreELEC (RPi4),1.32%
Recalbox 7.1.1-Reloaded (Pi 3),1.31%
RISC OS (5.28),0.93%
Ubuntu Server 20.10 (RPi 2/3/4/400),0.84%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.80%
RetroPie 4.7.1 (RPI 1/Zero),0.76%
Ubuntu Core 18 (RPi 3/4),0.51%
Ubuntu Core 18 (RPi 2/3/4),0.40%
Recalbox 7.1.1-Reloaded (Pi 0/1/GPI Case),0.30%
LibreELEC (RPi0/RPi1),0.26%
Recalbox 7.1.1-Reloaded (Pi 2),0.08%
TLXOS RPi 4.9.3 (latest),0.05%
TLXOS RPi IoT 4.8.1 (LTS),0.04%
TLXOS RPi 4.8.1 (LTS),0.01%
