Operating System,Percentage
Raspberry Pi OS (32-bit),46.50%
Raspberry Pi OS (other),24.83%
Ubuntu,12.40%
RetroPie,5.05%
Recalbox,4.46%
LibreELEC,3.42%
Misc utility images,2.26%
RISC OS Pi,0.97%
TLXOS,0.12%
