Image,Percentage
Raspberry Pi OS (32-bit),40.55%
Raspberry Pi OS Lite (32-bit),13.66%
Raspberry Pi OS Full (32-bit),8.94%
Ubuntu Desktop 21.04 (RPi 4/400),7.69%
Ubuntu Server 20.04.2 LTS (RPi 3/4/400),3.61%
Ubuntu Server 21.04 (RPi 3/4/400),2.69%
RetroPie 4.7.1 (RPI 4/400),2.42%
SD Card Boot,2.18%
USB Boot,1.99%
Recalbox 7.2.1-Reloaded - Pi4 / Pi400,1.81%
Recalbox 7.2.1-Reloaded - Pi3,1.70%
RetroPie 4.7.1 (RPI 2/3),1.56%
LibreELEC (RPi4),1.38%
Ubuntu Server 21.04 (RPi 2/3/4/400),1.18%
LibreELEC (RPi2/RPi3),1.06%
Homebridge,0.90%
Ubuntu Server 20.04.2 LTS (RPi 2/3/4/400),0.89%
Manjaro ARM KDE Plasma 21.04 (RPi 3/3+/4/400),0.78%
RISC OS (5.28),0.75%
RetroPie 4.7.1 (RPI 1/Zero),0.58%
Ubuntu Core 18 (RPi 3/4),0.57%
Manjaro ARM XFCE 21.04 (RPi 3/3+/4/400),0.55%
OctoPi,0.43%
Recalbox 7.2.1-Reloaded - Pi0 / Pi1 / GPiCase,0.33%
Manjaro ARM MATE 21.04 (RPi 3/3+/4/400),0.32%
Ubuntu Core 18 (RPi 2/3/4),0.31%
LibreELEC (RPi0/RPi1),0.25%
Manjaro ARM Minimal 21.04 (RPi 3/3+/4/400),0.24%
Recalbox 7.2.1-Reloaded - Pi2,0.19%
info-beamer OS,0.19%
Network Boot,0.11%
TLXOS RPi 4.10.0 (latest),0.04%
TLXOS RPi 4.9.3 (latest),0.03%
ALT Workstation 9.1 (Raspberry Pi 4/3),0.03%
info-beamer OS (testing),0.02%
ALT Education 9.1 (Raspberry Pi 4/3),0.02%
TLXOS RPi 4.8.2 (LTS),0.01%
TLXOS RPi IoT 4.8.1 (LTS),0.01%
Simply Linux 9.1 (Raspberry Pi 4/3),0.01%
OctoPi (mirror),0.01%
TLXOS RPi 4.8.1 (LTS),0.01%
Recalbox 7.2-Reloaded - Pi4 / Pi400,0.00%
TLXOS RPi IoT 4.8.2 (LTS),0.00%
